id	text	en	loc
11020	그거 싫어요!	I don't want that!	DefineActors.dinky
11021	장난감 갖고 싶어요!	I want a toy!	DefineActors.dinky
11022	애들은 그런 거 안 좋아해요!	Kids don't want that!	DefineActors.dinky
11023	고마워요!	Thanks!	DefineActors.dinky
11024	저처럼 이 썩게 하지 마세요.	Don't let them rot your teeth like they did mine.	DefineActors.dinky
11025	잠깐만요, 딜로리스 이모.	Not so fast Aunt Delores.	DefineActors.dinky
11026	제 사진 찍고 싶으면 선물 주셔야 해요.	Gotta give me a present if you want to take my picture.	DefineActors.dinky
11027	웃어요!	Smile!	DefineActors.dinky
11028	딜로리스	Delores	DefineActors.dinky
11029	윌리	Willie	DefineActors.dinky
11030	나탈리	Natalie	DefineActors.dinky
11031	랜섬	Ransome	DefineActors.dinky
11032	레너드	Leonard	DefineActors.dinky
11033	보안관	Sheriff	DefineActors.dinky
11034	검시관	Coroner	DefineActors.dinky
11035	데이브	Dave	DefineActors.dinky
11036	데이브	Dave	DefineActors.dinky
11037	샌디	Sandy	DefineActors.dinky
11038	마담 모레나	Madame Morena	DefineActors.dinky
11039	조지	George	DefineActors.dinky
11040	레노어	Lenore	DefineActors.dinky
11041	피터	Peter	DefineActors.dinky
11042	처키	Chuckie	DefineActors.dinky
11043	척 에드먼드, 정신병원에 수용되다...	Chuck Edmund committed to sanitarium...	Nickel.dinky
11044	척은 자신이 컴퓨터의 일부라고 믿는 정신 착란을 일으킨 후 수용되었다.	Chuck committed after a psychotic breakdown due to believing he was part of a computer.	Nickel.dinky
11045	윌리의 바이올린 수리점, 최고 수익 기록...	Willie's violin repair posts record profits...	Nickel.dinky
11046	윌리의 바이올린 수리 사업이 새로운 BBS 주문 및 광고 덕분에 호황을 누리고 있다.	Willie's violin repair business is booming due to new BBS ordering and advertising.	Nickel.dinky
11047	KSCUM, 음악 스타일 변경 예정...	KSCUM to change music styles...	Nickel.dinky
11048	오랜 역사의 KSCUM 라디오가 잡다한 록에서 난해한 록으로 포맷을 바꿀 예정이다.	Long standing KSCUM radio set to change formats from eclectic rock to esoteric rock.	Nickel.dinky
11049	S&D 다이너, 또 하나의 상 수상...	S&D Diner nets another award...	Nickel.dinky
11050	S&D 다이너가 훌륭한 음식으로 또 하나의 상을 받았다. 평론가들은 이곳이 카운티 최고의 맛집이라는 데 모두 동의한다.	S&D Diner received another award for their amazing food. Critics all agree, it's the best place to eat in the county.	Nickel.dinky
11051	S&D 다이너, 기념 유리컵 무료 증정...	Free commemorative glass at S&D diner...	Nickel.dinky
11052	최근 수상을 기념하여, S&D 다이너는 구매 시마다 기념 유리컵을 무료로 증정한다.	In celebration of their latest award, the S&D Diner is giving a free commemorative glass with every purchase.	Nickel.dinky
11053	아트 바이 엘트론, 필로우베어™ 매장으로 재개장...	Art by Eltron to re-open as PillowBear™ store...	Nickel.dinky
11054	주민들이 '아트 바이 엘트론'이라 부르던 그 매장이 5월 초 필로우베어™ 아울렛으로 재개장한다.	The store referred to by locals as Art by Eltron will re-open as a PillowBear™ factory outlet in early May.	Nickel.dinky
11055	퀴키팔 화장실, 유독물질 오염지역으로...	Quickie Pal bathroom a toxic site...	Nickel.dinky
11056	연방 기관들이 퀴키팔 화장실을 5등급 유독물질 오염지역으로 지정했다. 정화 작업이 곧 시작될 예정이다.	Federal agencies have designated the Quickie Pal bathroom a Class 5 toxic site. Clean-up should begin soon.	Nickel.dinky
11057	레노어 에드먼드, 퇴거당하다...	Lenore Edmund evicted...	Nickel.dinky
11058	은행이 척 에드먼드의 저택을 압류한 후, 레노어 에드먼드는 '내가 누군지 알아!'라고 소리치며 쫓겨났다.	After the bank repossessed Chuck Edmund's mansion, Lenore Edmund was evicted while screaming “Do you know who I am!”	Nickel.dinky
11059	괴짜 오컬트 마담 모레나, 마을에 전하는 말...	Occult oddball Madame Morena tells town...	Nickel.dinky
11060	저는 절대 누구에게도 저주를 걸지 않아요, 그건 제 흑마법으로도 선을 넘는 일이니까요. 초대형 폭탄 세일에 오세요!	I would never curse anyone, that would go beyond even my black magic. Come for the big blow-out sale!	Nickel.dinky
11061	지역 주민, MMucasFlem 게임즈에서 명망 있는 일자리 얻어...	Local nets prestigious job at MmucasFlem Games...	Nickel.dinky
11062	딜로리스 에드먼드는 최근의 가족 소동을 떨쳐낸 듯, 게임 업계 정상을 향해 가고 있다!	Delores Edmund seems to have shaken recent family turmoil and is on her way to the top of the game industry!	Nickel.dinky
11063	마임 배우, 랜섬에게 조용히 박수를 보내다...	Mime applauds silently for Ransome...	Nickel.dinky
11064	지역 마임 배우가 지금까지 본 것 중 최고의 쇼였다는 걸 무언극으로 표현하며, 4회 연속으로 랜섬 쇼 줄에 섰다.	While miming that it was the best show he'd ever seen, local Mime stands in line for 4th Ransome show in a row.	Nickel.dinky
11065	지역 정원사, 백악관 자리 따내다...	Local groundskeeper wins White House post...	Nickel.dinky
11066	지역 정원사 더그 브레이버맨이 백악관에 고용되어 장미 정원에 구덩이를 판다.	Local groundskeeper Doug Braverman is hired by the White House to dig holes in the rose garden.	Nickel.dinky
11067	오늘은 헤드라인 없음...	No headline today...	Nickel.dinky
11068	니켈 뉴스가 잉크가 떨어져 오늘 자 신문을 발행할 수 없	The Nickel News ran out of ink and cannot publish today's pap	Nickel.dinky
11069	공장 경비원 레예스, 또 승진...	Factory security guard Reyes promoted again...	Nickel.dinky
11070	다섯 번의 승진 끝에, 자랑스러운 아빠이자 경비원인 레예스가 새 필로우베어™ 공장의 경비 책임자가 되었다.	After five promotions, security guard and proud father Reyes has been made head of security at the new PillowBear™ factory.	Nickel.dinky
11071	프랭클린의 유령, 에드먼드 호텔에 출몰...	Ghost of Franklin haunts Edmund Hotel...	Nickel.dinky
11072	척 에드먼드의 형 프랭클린의 유령이 지역 에드먼드 호텔에 출몰한다고 전해진다. 피전 형제가 사건을 조사 중이다.	The ghost of Franklin, Chuck Edmund's brother, is said to haunt the local Edmund Hotel. Pigeon Brothers are on the case.	Nickel.dinky
11073	랜섬, 자선상 수상 예정...	Ransome to receive philanthropy award...	Nickel.dinky
11074	전 세계 아동들에게 도움이 된 다양한 프로젝트를 근거로, 이 상은 랜섬에게 수여될 예정이다.	Citing his various projects benefiting children around the world, the award will be bestowed on Ransome.	Nickel.dinky
11075	뭘 가져왔는지 한번 보자...	Let's see what you've got...	Nickel.dinky
11076	네 사진들 한번 보자...	Let's take a look at your photos...	Nickel.dinky
11077	네 사진들 잠깐 한번 볼까...	Why don't we take a quick look at your photos...	Nickel.dinky
11078	웃기네! 완전 메타적이야! 이거 마음에 들어.	Funny! Very meta! I like this one.	Nickel.dinky
11079	나 사진발 진짜 잘 받네. 내 사진 잘 나왔어.	I'm very photogenic. Nice one of me.	Nickel.dinky
11080	좋은데!	Good one!	Nickel.dinky
11081	이거 좋네!	This is nice!	Nickel.dinky
11082	기사에 완벽해!	Perfect for the story!	Nickel.dinky
11083	굉장한데!	Amazing!	Nickel.dinky
11084	흐릿하네...	Blurry...	Nickel.dinky
11085	조명이 별로네...	Poor lighting...	Nickel.dinky
11086	구도가 별로네...	Not framed well...	Nickel.dinky
11087	재미없네...	Uninteresting...	Nickel.dinky
11088	평범하네...	Mundane...	Nickel.dinky
11089	아마추어 같네...	Amateurish...	Nickel.dinky
11090	얘야, 나가서 사진 좀 찍어와.	Get out there kid and take some photos.	Nickel.dinky
11091	너무 속상해하지 마. 사진기자 일 익히는 데 시간이 좀 걸려.	Don't feel too bad. It takes a while to master photojournalism.	Nickel.dinky
11092	그거 좋은 사진인데!	That's a good shot!	Nickel.dinky
11093	그중에 좋은 사진들이 좀 있네!	There are some good shots in there!	Nickel.dinky
11094	안 좋은 것들은 내가 치울게.	Let me get rid of the bad ones.	Nickel.dinky
11095	오늘 할 일 다 끝날 때까지 좋은 것들은 네가 갖고 있어.	You keep the good ones until you've finished today's work.	Nickel.dinky
11096	얼른 나가서 사진 더 찍어와, 마감이 있으니까.	Better get out there and take some more photos, we've got a deadline.	Nickel.dinky
11097	아빠가? 죽었다고? 유령?	Dad? Dead? A ghost?	Nickel.dinky
11098	그럴 리가 없어, 오늘 아침에 같이 아침 먹었는데.	That can't be, I had breakfast with him this morning.	Nickel.dinky
11099	나가기 전에 카메라부터 찾아야겠어. 나탈리가 서류함 안에 있다고 했으니까.	I should find the camera before setting out. Natalie said it is in the file cabinet.	Nickel.dinky
11100	저 표지판 니켈 뉴스만큼이나 오래됐겠는데!	That sign must be as old as the Nickel News!	Nickel.dinky
11101	지나간 시대의 오래된 유물이네.	It's an old relic of a bygone era.	Nickel.dinky
11102	종이 신문은 죽었어.	Print is dead.	Nickel.dinky
11103	언젠간 다 컴퓨터로 옮겨가겠지.	Someday it will all be on computers.	Nickel.dinky
11104	그럼 나탈리는 폐업하겠네.	And Natalie will be out of business.	Nickel.dinky
11105	근데 괜찮아, 소셜미디어가 믿을 만한 뉴스원으로 자리 잡을 테니까.	But that's OK because social media will take over as the trusted source of news.	Nickel.dinky
11106	이건 새가 보는 마을 모습이랑은 다르네.	This is not how the town would look to a bird.	Nickel.dinky
11107	팀블위드 카운티 지도네.	It's a map of Thimbleweed County.	Nickel.dinky
11108	우리 집이 보이는 것 같아.	I think I can see my house.	Nickel.dinky
11109	저건 니켈 뉴스의 옛날 사진들이네.	Those are old photos from the Nickel News.	Nickel.dinky
11110	저것들엔 많은 역사가 담겨 있어.	There is a lot of history in those.	Nickel.dinky
11111	비어 있어.	It's empty.	Nickel.dinky
11112	카메라가 저기 있네.	There's the camera.	Nickel.dinky
11113	여기서 카메라를 찾았어. 이제 서류함은 비어 있어.	This is where I found the camera. The cabinet is empty now.	Nickel.dinky
11114	나탈리가 카메라 있다고 한 곳이 여기야.	This is where Natalie said the camera should be.	Nickel.dinky
11115	저 안엔 옛날 기사들이 보물창고처럼 들어있겠는데.	Must be a treasure trove of old stories in there.	Nickel.dinky
11116	나탈리 말대로 서랍 안을 봐서 카메라가 여기 있는지 확인해야겠어.	I should look in the drawer and see if the camera is here, like Natalie said.	Nickel.dinky
11117	문	door	Nickel.dinky
11118	그 니켈 뉴스 문	the Nickel News door	Nickel.dinky
11119	나가기	Leave	Nickel.dinky
11120	니켈 뉴스 나가기	Leave the Nickel	Nickel.dinky
11121	표지판	sign	Nickel.dinky
11122	인쇄기	printing press	Nickel.dinky
11123	지도	map	Nickel.dinky
11124	옛날 뉴스 사진들	old news photos	Nickel.dinky
11125	그 옛날 뉴스 사진들	the old news photos	Nickel.dinky
11126	서류함	file cabinet	Nickel.dinky
11127	거리가 막혀 있는 것 같아.	The street looks blocked off.	MainStreet.dinky
11128	진짜 냄새나긴 하는데, 나탈리한테 줄 만큼 역겨워 보이진 않는 것 같아.	It's really smelly, but I don't think this looks disgusting enough for Natalie.	MainStreet.dinky
11129	진짜 냄새나긴 하는데, 나탈리한테 줄 만큼 역겨워 보이진 않는 것 같아.	It's really smelly, but I don't think this looks disgusting enough for Natalie.	MainStreet.dinky
11130	사진이 소화전에서 물 떨어지는 것보다는 나아야 해.	Photo needs to be better than water dripping from a fire hydrant.	MainStreet.dinky
11131	완전 새는 소화전이네.	It's a very leaky fire hydrant.	MainStreet.dinky
11132	더 이상 안 새!	No more leaks!	MainStreet.dinky
11133	피전 자매님들네서 여름 알바 구할 수도 있겠는데!	I could get a summer job with the Pigeon Sisters!	MainStreet.dinky
11134	진짜 냄새나긴 하는데, 나탈리한테 줄 만큼 역겨워 보이진 않는 것 같아.	It's really smelly, but I don't think this looks disgusting enough for Natalie.	MainStreet.dinky
11135	사진이 소화전에서 물 떨어지는 것보다는 나아야 해.	Photo needs to be better than water dripping from a fire hydrant.	MainStreet.dinky
11136	진짜 냄새나긴 하는데, 나탈리한테 줄 만큼 역겨워 보이진 않는 것 같아.	It's really smelly, but I don't think this looks disgusting enough for Natalie.	MainStreet.dinky
11137	으악! 진짜 냄새나.	Yikes! That really stinks.	MainStreet.dinky
11138	세상에! 냄새나!	Gads! That smells!	MainStreet.dinky
11139	이거 완전 지독한 냄새네!	That sure is some stink!	MainStreet.dinky
11140	왜 계속 그 냄새가 나는 거지!	Why do I keep smelling that!	MainStreet.dinky
11141	이 정도면 될 거야.	That should do it.	MainStreet.dinky
11142	우와! 뭔가 진짜 냄새 심하게 나.	Wow! Something smells really bad.	MainStreet.dinky
11143	저 아래 꽤 어두워 보이네.	Looks pretty dark down there.	MainStreet.dinky
11144	다이너는 영업 중이네.	The Diner is open for business.	MainStreet.dinky
11145	음식도 훌륭하고, 위생 점검도 완벽하대!	They have amazing food, and a perfect health record!	MainStreet.dinky
11146	인상적인 문이네.	That is an impressive door.	MainStreet.dinky
11147	표지판에 '구인: 은행 창구직원. 구할 때까지 휴무'라고 쓰여 있어.	Sign says: “Help Wanted: Bank Teller. Closed until we find one.”	MainStreet.dinky
11148	팀블위드 파크는 자라기 좋은 곳이었어.	Thimbleweed Park was a great place to grow up.	MainStreet.dinky
11149	마을로 들어오는 고속도로가 폐쇄됐어.	The highway into town is closed.	MainStreet.dinky
11150	'윌리의 시계 & 바이올린 수리점...'이라고 쓰여 있어.	It says “Willie's Watch & Violin Repairs...	MainStreet.dinky
11151	'1957년부터 시계와 바이올린을 수리해왔습니다.'	“Repairing watches and violins since 1957.”	MainStreet.dinky
11152	저 작은 시계는 가짜인 것 같아.	I think the little clock is fake.	MainStreet.dinky
11153	윌리의 시계 & 바이올린 수리점은 오늘 밤엔 문 닫은 것 같네.	Looks like Willie's Watch & Violin Repairs is closed for the night.	MainStreet.dinky
11154	잘 자, 윌리!	Night Willie!	MainStreet.dinky
11155	저 안엔 철거된 집 사진이 없네.	There aren't any photos of demolished homes in there.	MainStreet.dinky
11156	누가 여기로 이사 오고 싶어 하겠어.	Who would want to move here.	MainStreet.dinky
11157	경제 불황의 수많은 희생양 중 하나네.	One of the many casualties of the economy.	MainStreet.dinky
11158	새 필로우베어™ 매장 오픈이 너무 기다려져.	I can't wait for the new PillowBear™ store to open.	MainStreet.dinky
11159	아빠가 정말 자랑스러워.	I'm so proud of Dad.	MainStreet.dinky
11160	이 필로우베어™들 완전 귀여워!	These PillowBears™ are so cute!	MainStreet.dinky
11161	다 아빠 아이디어였어.	They were all Dad's idea.	MainStreet.dinky
11162	고깔 표지판이네. 그냥 내버려 둬야겠어.	It's a traffic cone. I'm going to leave it alone.	MainStreet.dinky
11163	A 스트리트	A Street	MainStreet.dinky
11164	B 스트리트	B Street	MainStreet.dinky
11165	소화전	fire hydrant	MainStreet.dinky
11166	골목	alley	MainStreet.dinky
11167	골목	an alley	MainStreet.dinky
11168	문	door	MainStreet.dinky
11169	그 다이너 문	the Diner door	MainStreet.dinky
11170	들어가기	Enter	MainStreet.dinky
11171	다이너 들어가기	Enter Diner	MainStreet.dinky
11172	은행 문	bank door	MainStreet.dinky
11173	그 은행 문	the bank door	MainStreet.dinky
11174	들어가기	Enter	MainStreet.dinky
11175	은행 들어가기	Enter bank	MainStreet.dinky
11176	표지판	sign	MainStreet.dinky
11177	구인 공고	a job posting	MainStreet.dinky
11178	표지판	sign	MainStreet.dinky
11179	그 팀블위드 파크 표지판	the Thimbleweed Park sign	MainStreet.dinky
11180	그 고속도로	the highway	MainStreet.dinky
11181	시계 수리점 간판	watch repair sign	MainStreet.dinky
11182	문	door	MainStreet.dinky
11183	부동산 사무소	realtor's office	MainStreet.dinky
11184	그 부동산 사무소	the realtor's office	MainStreet.dinky
11185	꽃집	flower shop	MainStreet.dinky
11186	그 꽃집	the flower shop	MainStreet.dinky
11187	오픈 예정	Coming Soon	MainStreet.dinky
11188	그 새 필로우베어™ 매장	the new PillowBear™ store	MainStreet.dinky
11189	필로우베어™ 간판	PillowBear™ sign	MainStreet.dinky
11190	변두리	outskirts	MainStreet.dinky
11191	시청 문	City Hall door	MainStreet.dinky
11192	그 시청 문	the City Hall door	MainStreet.dinky
11193	들어가기	Enter	MainStreet.dinky
11194	 시청	 City Hall	MainStreet.dinky
11195	고깔 표지판	traffic cone	MainStreet.dinky
11196	고깔 표지판	traffic cone	MainStreet.dinky
11197	고깔 표지판	traffic cone	MainStreet.dinky
11198	퀴키팔에 오신 걸 환영합니다. 뭐 찾는 거 도와드릴까요?	Welcome to Quickie Pal. Can I help you find anything?	QuickiePal.dinky
11199	저는 개인적으로 초콜릿 봉봉을 정말 좋아해요.	I personally am really fond of the chocolate bon bons.	QuickiePal.dinky
11200	뭐든 찾는 거 있으면 말씀해 주세요.	Let me know if I can help you find anything.	QuickiePal.dinky
11201	뭐든 찾는 거 있으면 말씀해 주세요.	Let me know if I can help you find anything.	QuickiePal.dinky
11202	뭐든 찾는 거 있으면 말씀해 주세요.	Let me know if I can help you find anything.	QuickiePal.dinky
11203	뭐든 찾는 거 있으면 말씀해 주세요.	Let me know if I can help you find anything.	QuickiePal.dinky
11204	뭐든 찾는 거 있으면 말씀해 주세요.	Let me know if I can help you find anything.	QuickiePal.dinky
11205	뭐든 도와드릴 거 있으면 말씀해 주세요.	Let me know if I can help you with anything.	QuickiePal.dinky
11206	뭐든 도와드릴 거 있으면 말씀해 주세요.	Let me know if I can help you with anything.	QuickiePal.dinky
11207	저는 도와드리려고 있는 거예요.	I'm here to serve.	QuickiePal.dinky
11208	저는 도와드리려고 있는 거예요.	I'm here to serve.	QuickiePal.dinky
11209	저는 도와드리려고 있는 거예요.	I'm here to serve.	QuickiePal.dinky
11210	저 노을 정말 멋지지 않아요?	How about that sunset?	QuickiePal.dinky
11211	랜섬 더 클라운 정말 대단하지 않아요? 완전 웃겨요.	How about that Ransome the Clown? He's so funny.	QuickiePal.dinky
11212	독감 예방주사 맞는 거 잊지 마세요.	Don't forget to get your flu shot.	QuickiePal.dinky
11213	유통기한 지난 우유 어때요? 정가에서 50% 할인이에요.	Want some expired milk? 50% off normal price.	QuickiePal.dinky
11214	피전 자매님들이 우리 쥐 문제 해결해줘서 정말 다행이에요!	Sure glad the Pigeon Sisters got rid of our rat problem!	QuickiePal.dinky
11215	고급 가죽 재킷™ 사실래요?	Want to buy a Fine Leather Jacket™?	QuickiePal.dinky
11216	어이쿠!	Yikes!	QuickiePal.dinky
11217	어이쿠!	Yikes!	QuickiePal.dinky
11218	쭉 들이켜세요!	Drink up!	QuickiePal.dinky
11219	우편 투입구네.	It's a mail drop.	QuickiePal.dinky
11220	팀블위드 파크 기념 티셔츠야!	It's a souvenir Thimbleweed Park T-shirt!	QuickiePal.dinky
11221	'병 반환은 여기서, 5센트.'	It says “Redeem bottles here, 5¢.”	QuickiePal.dinky
11222	이런 상자 몇 개 신경 쓸 사람 없어.	No one cares about a bunch of boxes.	QuickiePal.dinky
11223	전부 '필로우베어™ 한 다스'라고 쓰여 있어.	They all say, “1 Dozen PillowBears™.”	QuickiePal.dinky
11224	이 아이디어 생각해낸 아빠가 정말 자랑스러워!	I'm so proud of Dad for thinking up this idea!	QuickiePal.dinky
11225	완전 쥐-쩔어!	It's Ratastic!	QuickiePal.dinky
11226	확실히 새로운 장난감 유행은 아니야. 나 어릴 때도 있었는데.	Definitely not a new toy craze. I had one when I was a kid.	QuickiePal.dinky
11227	유명인 얼굴인데, 사탕 디스펜서로 쓰이는 게 좀 굴욕적이네. 더 나은 사진이 필요해.	It's a celebrity's head, but kind of demeaning being a candy dispenser. I need a better photo.	QuickiePal.dinky
11228	랜섬 사탕 디스펜서가 엄청 많네.	That's a lot of Ransome candy dispensers.	QuickiePal.dinky
11229	방황하는 아이들을 위한 랜섬 더 클라운의 집 홍보용으로 나눠드리고 있어요. 하나 가져가세요.	Giving them away as a promotion for the Ransome the Clown House for Wayward Kids. Take one.	QuickiePal.dinky
11230	고객당 하나씩이에요. 회사 정책이라서요.	It's one per customer. Corporate policy.	QuickiePal.dinky
11231	확실한 거면 해볼 텐데.	I'd play if it were a sure thing.	QuickiePal.dinky
11232	퀴키팔 문	Quickie Pal door	QuickiePal.dinky
11233	그 퀴키팔 문	the Quickie Pal door	QuickiePal.dinky
11234	나가기	Leave	QuickiePal.dinky
11235	퀴키팔 나가기	Leave the Quickie Pal	QuickiePal.dinky
11236	우편 투입구	mail drop	QuickiePal.dinky
11237	티셔츠	T-shirt	QuickiePal.dinky
11238	표지판	sign	QuickiePal.dinky
11239	상자	boxes	QuickiePal.dinky
11240	상자	boxes	QuickiePal.dinky
11241	쥐	rat	QuickiePal.dinky
11242	랜섬 사탕 디스펜서	Ransome candy dispensers	QuickiePal.dinky
11243	로또	Lotto	QuickiePal.dinky
11244	그 로또 표지판	the Lotto sign	QuickiePal.dinky
11245	아마 다른 게임의 퍼즐 해답이겠지.	Probably the solution to a puzzle in another game.	PostOffice.dinky
11246	우편물 무게 재는 거네.	It's for weighing mail.	PostOffice.dinky
11247	여기서 레너드의 전기세 고지서를 부칠 수 있겠어.	This is where I could mail Leonard's electricity bill.	PostOffice.dinky
11248	우편물이 있었으면 여기다 넣었을 텐데.	If I had any mail, this is where I'd put it.	PostOffice.dinky
11249	제퍼슨의 실제 사진이면 훨씬 낫겠는데.	An actual image of Jefferson would be much better.	PostOffice.dinky
11250	7월을 보여주고 있네... 그때가 옛날이었지.	It's showing the month of July... That was a long time ago.	PostOffice.dinky
11251	공공기물 파손이 진짜 문제인가 보네. 사례를 사진으로 찍어야겠어.	Looks like government property vandalism really is a problem. I need to photograph an example of it.	PostOffice.dinky
11252	'우편함 침입 시도를 그만두어 주십시오.'	“Please stop trying to break into the mailboxes.”	PostOffice.dinky
11253	잠겨 있어.	They are locked.	PostOffice.dinky
11254	비밀번호를 몰라.	I don't have the combination.	PostOffice.dinky
11255	개인 우편함이 엄청 많네.	That's a lot of private mailboxes.	PostOffice.dinky
11256	우편함 손상이 진짜 사소하네. 사진용으로는 부족해.	The mailbox damage is really minor. Not good enough for the photo.	PostOffice.dinky
11257	안이 어두워!	It's dark in there!	PostOffice.dinky
11258	이거 때문에 완전 큰일 나겠는데.	I'm going to get in so much trouble for this.	PostOffice.dinky
11259	이 우편함 조금 긁힌 것 같네.	This mailbox looks a little scuffed up.	PostOffice.dinky
11260	이게 현명한 생각이었는지 잘 모르겠어.	I'm not so sure this was a smart idea.	PostOffice.dinky
11261	이런 상자 몇 개 신경 쓸 사람 없어.	No one cares about a bunch of boxes.	PostOffice.dinky
11262	필로우베어™ 무더기네, 발송되길 기다리고 있어.	It's a bunch of PillowBears™, waiting to be mailed out.	PostOffice.dinky
11263	그거 아빠 아이디어였는데!	That was Dad's idea!	PostOffice.dinky
11264	문	door	PostOffice.dinky
11265	그 우체국 문	the Post Office door	PostOffice.dinky
11266	나가기	Leave	PostOffice.dinky
11267	우체국 나가기	Leave the Post Office	PostOffice.dinky
11268	테이프	tape	PostOffice.dinky
11269	테이프	tape	PostOffice.dinky
11270	저울	scale	PostOffice.dinky
11271	우편 투입구	mail drop	PostOffice.dinky
11272	달력	calendar	PostOffice.dinky
11273	중요 공지	important notice	PostOffice.dinky
11274	중요 공지	an important notice	PostOffice.dinky
11275	우편함	mailboxes	PostOffice.dinky
11276	우편함	mailboxes	PostOffice.dinky
11277	파손된 우편함	destroyed mailbox	PostOffice.dinky
11278	긁힌 우편함	scuffed up mailbox	PostOffice.dinky
11279	상자	boxes	PostOffice.dinky
11280	상자	boxes	PostOffice.dinky
11281	차단돼 있어.	It's been shut off.	CityHall.dinky
11282	작동해도 안 마실 거야.	Even if it was working, I wouldn't drink from it.	CityHall.dinky
11283	팀블위드 삼군(三郡) 인장이네!	It's the Thimbleweed tri-county seal!	CityHall.dinky
11284	위풍당당하네!	It's majestic!	CityHall.dinky
11285	저 사람 어떤 노인네인데 죽은 게 거의 확실해.	That's some old dude who I'm pretty sure is dead. 	CityHall.dinky
11286	누군지는 모르겠는데, 대통령 같아 보이진 않아.	I don't know who he is, but he doesn't look very presidential.	CityHall.dinky
11287	저건 액자 살 때 같이 딸려온 게 거의 확실해.	Pretty sure that came with the frame.	CityHall.dinky
11288	문	door	CityHall.dinky
11289	나가기	Leave	CityHall.dinky
11290	시청 나가기	Leave City Hall	CityHall.dinky
11291	식수대	drinking fountain	CityHall.dinky
11292	인장	seal	CityHall.dinky
11293	보안관 사무실 문	Sheriff's Office door	CityHall.dinky
11294	그 보안관 사무실 문	the Sheriff's Office door	CityHall.dinky
11295	들어가기	Enter	CityHall.dinky
11296	보안관 사무실 들어가기	Enter the Sheriff's Office	CityHall.dinky
11297	검시관 사무실 문	Coroner's Office door	CityHall.dinky
11298	그 검시관 사무실 문	the Coroner's Office door	CityHall.dinky
11299	들어가기	Enter	CityHall.dinky
11300	검시관 사무실 들어가기	Enter the Coroner's Office	CityHall.dinky
11301	그림	painting	CityHall.dinky
11302	그림	painting	CityHall.dinky
11303	이것들 진짜 소름 끼쳤는데. 꺼져서 다행이야.	These things were creepy. I'm glad they were deactivated.	QuickiePalOutside.dinky
11304	이게 사람들 영화 대여 기록을 추적해서 정체불명의 회사들이랑 공유했다더라. **소름**	I heard they actually tracked your movie rentals and shared the information with unknown companies. **SHIVER**	QuickiePalOutside.dinky
11305	퀴키팔 문	Quickie Pal door	QuickiePalOutside.dinky
11306	그 퀴키팔 문	the Quickie Pal door	QuickiePalOutside.dinky
11307	들어가기	Enter	QuickiePalOutside.dinky
