text_id	de
20042	그... 유쾌하진 않네요.
20043	네 양복에 뭐 묻히지 않게 조심해.
20044	오늘 저녁 내내 너랑 있어야 하면, 하수구 냄새는 안 났으면 좋겠는데.
20045	그러기엔 좀 늦은 것 같은데요.
20046	쥐들이 아직 네 얼굴은 안 뜯어먹었지?
20047	뭐, 뭐라고요? 쥐가 그런 것도 해요?!
20048	오 당연하지! 쥐들은 사람 살 뜯어먹는 거 좋아해.
20049	이런 젠장! 저 좀 도와주셔야 해요!
20050	할 수 있는 만큼 해볼게.
20051	그동안, 가만히 앉아서 바지 밑단 양말 속에 넣고 있어.
20052	그래야 안 물려.
20053	아아아악!
20054	헤헤헤.
20055	패닉이요? 저 패닉 안 했어요.
20056	여기 살 뜯어먹는 쥐랑 생하수만 있을 뿐인데요, 뭘.
20057	게다가 악어에, 세균에, 독성 가스에, 터널 붕괴 위험까지.
20058	그러니까 그래요, 저 완전 패닉 안 했어요! 완전 침착해요!
20059	하하하하!
20060	필요하면 여기 있을게요.
20061	레이 요원, 당신이에요?
20062	아니, 교황이야.
20063	바티칸에서 나한테 하수구 투어를 시켜주기로 했거든.
20064	당연히 나지, 이 멍청아.
20065	나갈 방법은 좀 찾았어요?
20066	왜 하수구에 있는 거예요?
20067	괜찮아요?!
20068	누가 공격했는지 봤어요?
20069	당신 동전 갖고 있어요.
20070	하수구는 좀 둘러봤어요?
20071	제가 도와줄 거 있어요?
20072	패닉하지 마세요, 레이 요원!
20073	저한테 죽여주는 생존 팁이 있어요!
20074	정말 제 생존 팁 안 듣고 싶으세요?
20075	최대한 빨리 돌아올게요.
20076	경치랑 냄새 즐기는 중이야, 하수구 탐험 취미 연습하고, 닌자 거북이 사냥 중이고.
20077	골라봐.
20078	탐험 다니세요?
20079	아니 이 멍청아, 다이너 뒤 골목 조사하다가 누가 나를 공격했다고!
20080	다쳤어요? 치료 필요해요?
20081	괜찮아. 이보다 더 안 좋은 상태로, 더 안 좋은 곳에서 깬 적도 있어.
20082	근데 보통 그럴 땐 데킬라가 있었지.
20083	그놈들 잡아서 정신 못 차리게 체포시킬게요!
20084	아니 뒤에서 왔어.
20085	돌아볼 틈도 없이 정신을 잃었어.
20086	근데 짐작건대 누구든 우리가 마을을 캐고 다니는 걸 싫어하는 것 같아.
20087	이거 값을 치르게 할게요, 레이 요원!
20088	일단 당신을 그 하수구에서 꺼내드리고요.
20089	지금 뭔가 은근한 암시를 하는 건가, 요원?
20090	아, 아니요, 부인!
20091	내키면 좀 둘러볼게.
20092	그래, 출구는 못 찾았어.
20093	근데 여기 공중전화가 있어서 누구한테 전화는 할 수 있을 것 같아.
20094	잘됐네요!
20095	근데 동전이 하나도 없어.
20096	동전도 없고 여기선 휴대폰도 안 터져.
20097	보안관님이 도와줄 수 있는지 알아볼까요?
20098	우리가 아는 한 그 검시관-레노이 직접 날 여기 넣었을 수도 있는데!
20099	좋은 지적이네요.
20100	쓸모 있고 싶으면, 이 공중전화용 동전이나 좀 찾아봐.
20101	바로 할게요, 레이 요원!
20102	나 패닉 안 했어.
20103	패닉하지 말라고요, 레이 요원!
20104	산소 아껴야 해요!
20105	그럴 필요 없는데, 근데 여기서 숨은 최대한 적게 쉬고 있다는 건 믿어도 돼.
20106	너한테 줄 생존 팁이 하나 있어, 레예스.
20107	오 그래요?
20108	'입 다물어라, 그럼 이 하수구에서 나갔을 때 네 급소 안 때려줄게!'
20109	좋아! 한번 해봐.
20110	저희 할머니가 항상 그러셨어요, '신발에 설치류 기피제 뿌리면 신발에서 설치류를 막을 수 있다'고.
20111	그거 내가 들어본 것 중 제일 뻔하고 멍청한 조언이네.
20112	더 이상 팁 필요 없어, 레예스.
20113	근데 나 그 두더지 기피제를 당근 케이크랑 바꾸지 말 걸 그랬나 봐.
20114	그래도 맛있긴 했어.
20115	이거 망치지 마, 레예스!
20116	이 마을에 사는 나머지 괴짜들이랑도 얘기해봐야 할 것 같네.
20117	따로 움직이는 게 더 빠를 거예요.
20118	네가 동네 다이너에서 죽치고 있어도 일이 더 빨리 끝나겠지.
20119	기관 심문 프로토콜대로만 하면, 오래 안 걸릴 거예요.
20120	{notalk} *한숨*
20121	그냥 아무것도 망치지나 마.
20122	여기서 최대한 빨리 나가고 싶어.
20123	동의해요.
20124	아, 이거 정말 잘됐네.
20125	너 레예스야?
20126	아니요... 저는... 레예스 아니에요.
20127	연기 그만해, 내가 본 것 중 최악의 변장이야.
20128	그럼 요원님도 최근에 거울 안 보셨나 보네요.
20129	인정.
20130	여기 마을엔 왜 돌아온 거예요?
20131	당신한테 뭔가 있다는 거 알고 있었어요.
20132	저도 마찬가지예요, 셜록 씨.
20133	우리 둘 다 솔직하지 않았던 것 같아요.
20134	이제 팀블위드 파크에 온 진짜 이유를 솔직히 털어놓을 때인 것 같아요.
20135	너 먼저.
20136	그게...
20137	가족들 살 좋은 집 알아보러 왔어요.
20138	지역 부패를 수사하고 있어요.
20139	팀블위드 파크가 비밀 UFO 기지라고 의심하고 있어요.
20140	아버지를 죽인 그 옛날 베개 공장 화재를 조사하고 있어요.
20141	개소리.
20142	음, 이제야 진짜처럼 들리네.
20143	왜 계속 화재에 대해 물어보나 했어.
20144	그냥 뭔가 변태적인 방화 페티시인 줄 알았지.
20145	저희 아버지가 거기 경비원이셨어요.
20146	그때 몇 살이었어?
20147	겨우 다섯 살이었어요.
20148	엄마 말로는 아버지가 항상 공장 기계들 로직 결함에 대해 불평하셨대요.
20149	아버지는 희생양이 되셨고 화재 책임을 뒤집어쓰셨어요.
20150	저는 아버지 누명을 벗기고 척의 잘못이었다는 걸 증명하려고 여기 왔어요.
20151	어드벤처 게임 좋아해?
20152	그다지. 너무 느리고 앞뒤 안 맞는 억지스러운 스토리가 많아서.
20153	그래요, 그건 저도 동감이에요.
20154	그건 그렇고...
20155	네 아버지 누명 벗기는 건 정말 숭고한 목적이네.
20156	너한테 그렇게 힘들게 굴어서 미안해.
20157	저 공장에 들어가야 해요.
20158	분명 아버지 누명 벗길 증거가 저 안에 있을 거예요.
20159	자, 이제...
20160	진짜로 왜 여기 온 거예요?
20161	음...
20162	그냥 팀블위드 파크 경찰서에 자리 있나 보러 왔어.
20163	휴가 중에 시체를 우연히 발견해서 도와주려고 했어.
20164	나 승진 대상인데 이게 공식 신고식이야.
20165	일본 회사가 베개 공장 AI 비밀 정보 대가로 나한테 돈을 주고 있어.
20166	말도 안 돼요.
20167	나 NSA를 위해 베개 공장 AI의 비밀을 찾으러 여기 왔어. 이건 1급 국가 안보 사안이야.
20168	그거 꽤 중요한 일이네요.
20169	우리 둘 다 베개 공장에 들어가야 하나 보네.
20170	이번 건은 같이 협력하자.
20171	완전한 정직함으로.
20172	우와, 국가 안보라니.
20173	완전 묵직한 NSA급 일이네요.
20174	따로 움직이자, 더 빠를 거야.
20175	좋은 생각이에요.
20176	이 사건 해결에 거의 다다른 것 같아요.
20177	네가 깨는 데 거의 다다른 건 내 인내심뿐인데.
20178	같이 협력해서 저는 얼른...
20179	그러니까... 우리 최대한 빨리 이 마을에서 나갈 수 있게요.
20180	동의해.
20181	신원 확인 보고서가 있어요.
20182	시체 신원부터 확인해야 해요...
20183	지문 보고서가 있어요.
20184	지문 대조가 필요해요...
20185	혈액 보고서가 있어요.
20186	혈액 대조가 필요해요...
20187	서커스에 있는 그 미친 광대랑 얘기해봐야 해요.
20188	저택에 있는 너드 프로그래머랑 얘기해봐야 해요.
20189	얼른 시작하자.
20190	...시체 사진이랑 피해자 신분증 사진을 페이스트론™에 넣어서요.
20191	운전면허증이나 여권 같은 거?
20192	아니면 버거샥 멤버십 카드요, 전 세계에서 통하는 걸로.
20193	(비꼬듯) 확인-레노.
20194	...살인 무기에서 뜬 지문이랑 공식 지문 대조집을 핑거트론™에 넣어서요.
20195	(비꼬듯) 그러시겠지.
20196	...시체에서 채취한 혈액이랑 용의자한테서 발견한 피 묻은 물건을 블러드트론™에 넣어서요.
20197	...시체에서 채취한 혈액이랑 윌리의 피 묻은 지갑을 블러드트론™에 넣어서요.
20198	(비꼬듯) 그러겠지.
20199	완전 연쇄살인마 상판이에요.
20200	(비꼬듯) 그냥 쏴버리는 게 더 빠르지 않을까?
20201	그 여자한텐 뭔가 이상한 게 있어요.
20202	(비꼬듯) 그래... 머리 좋은 여자라... 확실히 수상하네.
20203	(비꼬듯){한숨}*한숨*.
20204	무엇을 도와드릴까요, 선생님?
20205	무엇을 도와드릴까요, 부인?
20206	그 열쇠 중요해 보이는데, 좀 빌릴 수 있을까요?
20207	척 에드먼드에 대해 잘 아세요?
20208	척 에드먼드에 대해 아는 거 있어요?
20209	공장은 왜 그렇게 꽁꽁 잠겨있는 거예요?
20210	공장에 왜 그렇게 고급 보안이 있는지 아세요?
20211	여기서 무슨 일을 하세요?
20212	이 은행 매니저이신가요?
20213	제가 요원인 건 어떻게 아셨어요?
20214	제 배지가 당신 삶을 피곤하게 만들 수도 있는데요.
20215	살인 사건에 대해 들으셨어요?
20216	윌리가 갇혀서 이제 좀 안전하다고 느끼시겠네요.
20217	윌리가 그랬다고 생각하세요?
20218	윌리가 그랬어요.
20219	윌리는 괜찮을 거예요.
20220	안녕히 계세요, 엘 파울로 씨.
20221	죄송합니다. 그 열쇠는 누구에게도 내드릴 수 없어요. 법이라서요.
20222	안타깝네요, 엘 파울로 씨. 다른 방법을 써야겠군요.
20223	그분은 지역사회에서 많은 사랑을 받으셨고, 저희 은행의 가장 충실한 고객이셨죠.
20224	에드먼드 씨가 정말 많이 그리울 겁니다.
20225	땅속 6피트에서는 못 들을 텐데, 저 좋으라고 아부할 필요 없어요.
20226	고인에게 예의를 좀 지켜주세요, 부인!
20227	상심이 크시겠어요.
20228	고맙습니다, 선생님.
20229	현재 상태로는 공장에 들어가는 게 안전하지 않아요.
20230	화재 피해로 건물이 불안정해졌고, 에드먼드 가족도 괜한 소송에 휘말리고 싶지 않을 겁니다.
20231	근데 그거 말고는, 제가 알기로 공장엔 아직 값나가는 필로트로닉스 장비들이 있어요.
20232	그래서 저희가 에드먼드 씨의 유언장이 낭독될 때까지 열쇠를 보관하고 있는 거죠.
20233	그렇군요.
20234	맞는 말씀이세요.
20235	저는 엘 파울로입니다, 세이플리 퍼스트 저축은행의 매니저죠.
20236	은행의 모든 일상 업무를 담당하고 있습니다.
20237	그런데 갑자기 연방요원들이 제 업무에 왜 관심을 갖는지 여쭤봐도 될까요?
20238	안 돼요.
20239	걱정 마세요, 그냥 대화하는 거예요, 엘 파울로 씨!
20240	그 끔찍한 양복 말고도요?
20241	여기는 다들 서로를, 그리고 서로의 일을 아는 작은 마을이에요.
20242	낯선 사람 둘이 캐고 다니면 소문이 빨리 퍼지죠.
20243	완전 셜록 홈즈가 나셨네요.
20244	저기요? 지금 저 협박하시는 건가요?
20245	그냥 제 수사에 협조 안 하시면 어떻게 될지 말씀드리는 거예요.
20246	'열쇠가 되는' 정보를 숨기신다면, 제 동료들 불러서 당신 기록을 조사할 근거가 생길 수도 있죠.
20247	그럼 분명 뭔가 재밌는 걸 찾아낼 거고요.
20248	부인, 그런 뉘앙스 마음에 안 드는데, 얼마든지 동료분들 불러오세요.
20249	저는 아주 결백하니, 그런 겁주기 전술로는 저를 못 흔드실 거예요!
20250	젠장.
20251	물론이죠.
20252	팀블위드 파크에 시체가 나타나는 게 매일 있는 일은 아니니까요.
20253	이 마을 문제 중에 제일 사소한 걸로 보이는데요.
20254	글쎄요, 잘 모르겠네요.
20255	개인적인 문제야 어쨌든, 윌리가 저한텐 살인자처럼 안 보여요.
20256	그건 살인자를 아는 사람들이 다 하는 말이죠.
20257	이해는 하는데, 모든 증거가 그를 가리키고 있어요.
20258	그럴 수도 있지만, 저는 그냥 그가 안 그랬다고 생각해요.
20259	그 멍청한 아레스트트론이 증명했잖아요.
20260	안 그랬다면 법정에서 무죄로 나올 거예요.
20261	뭐라고 하셔도 좋은데, 지금 이 순간 결백한 시계 수리공이 감방에 앉아있을 가능성이 크다는 사실은 변하지 않아요.
20262	저축이나 대출 상담 필요하시면 언제든 들러주세요!
20263	무료 피자 쿠폰 필요해?
20264	*윙크* *윙크*
20265	피자가 무료예요, 아니면 쿠폰이 무료예요?
20266	그렇게 입고 다니면 체포될 수도 있어요.
20267	저한테 작업 거시는 거예요?
20268	이 이상한 마을은 대체 왜 이래요?
20269	이 괴상한 동네는 대체 뭐예요?
20270	회의요? 무슨 회의요?
20271	피자 얘기는 그만하고, 이제 가봐야겠어요.
20272	아...
20273	음...
20274	잘 이해가 안 되는데.
20275	누구야? 경찰이야?
20276	휴가 나온 관광객이에요.
20277	피자 좀 구하려고요.
20278	당신의 최악의 악몽이죠.
20279	연방 요원입니다.
20280	바닥재 검사관이에요.
20281	연방 요원이잖아!
20282	양복 보고 알아봤다니까!
20283	딱 알고 있었어!
20284	내 권리는 내가 알아!
20285	영장 보여줘!
20286	이건 불법 체포야!
20287	아아아아아아악!
20288	뭔가 이상한 일이 벌어지고 있어!
20289	당신도 눈치챘지?
20290	말도 안 돼! 삐 소리랑 웅웅거리는 소리 들어봤어?
20291	그 회의에 대해 알아?
20292	일하는 중!
20293	거기서 뭐 하는 거예요?
20294	그냥 구덩이 파는 거예요.
20295	대부분 구덩이죠, 뭐.
20296	그다음에 다시 묻어요, 깔끔하고 단정하게.
20297	그렇군요.
20298	실례합니다, 뭐 하고 계신지 여쭤봐도 될까요?
20299	그냥 구덩이 파는 거예요.
20300	대부분 구덩이죠, 뭐.
20301	그다음에 다시 묻어요, 깔끔하고 단정하게.
20302	네, 계속하세요.
20303	에드먼드 호텔에 오신 걸 환영해요-부우, 트라이-팀블위드 파크 카운티 지역에서 제일 아름다운 호텔이죠.
20304	어떻게 도와드릴까요-부우?
20305	그 밖에 또 어떻게 도와드릴까요-부우?
20306	제 이름으로 씸블콘 티켓이 있을 텐데요.
20307	씸블콘 티켓 좀 받고 싶은데요.
20308	씸블콘 티켓 좀 더 받고 싶은데요.
20309	안녕하세요 보안관님. 왜 호텔 매니저로 부업을 하고 계세요?
20310	정말 낯이 익네요, 저희 전에 만난 적 있나요?
20311	오늘 호텔에 무슨 일 있어요?
20312	프랭클린 에드먼드한테 무슨 일이 있었는지 아세요?
20313	정문에 무슨 일이 있는 거예요?
20314	여기 아름다운 로비 좀 둘러볼게요!
20315	여기 그... 음... 흥미로운 로비 좀 둘러볼게요.
20316	{flip_coin}오-부우! 저는 보안관이 아니라 호텔 매니저예요.
20317	보안관은 늘 그 짜증나는 '레노'를 붙이잖아요.
20318	저는 절대 그렇게-부우 안 해요.
20319	그러시겠죠.
20320	뭐든.
20321	{flip_coin3}그런 것 같지 않은데요-부우.
20322	네, 그렇군요.
20323	씸블콘-부우이 기록적인-부우 인파로 열렸어요.
20324	그 기록이 겨우 두 명 왔다는 거예요?
20325	혹시 떠오르는 생각을 다 입 밖으로 내는 걸 삼가주시면, 저 하나-부우는 정말 기쁠 것 같은데요.
20326	씸블콘 말고는... 아무것도 없어요-부우.
20327	분명 식중독 사례가 더 늘어난 것도 아니고요.
20328	확실히 아니에요-부우.
20329	아무것도 없어요-부우.
20330	분명 식중독 사례가 더 늘어난 것도 아니고요.
20331	확실히 아니에요-부우.
20332	네, KSCUM-부우 퀴즈 대회에서 받은 티켓이 있어요.
20333	성함이 어떻게 되시죠-부우?
20334	까먹었어요.
20335	아, 맞네요. 여기 성함-부우이 목록에 있네요.
20336	그 이름은 목록에 안 보이는데요...
20337	근데 믿음직한 얼굴-부우이시니까, 그냥 드릴게요.
20338	하하. 저도 항상 그래요-부우.
20339	근데 믿음직한 얼굴-부우이시니까, 그냥 드릴게요.
20340	죄송해요. 저희는 KSCUM-부우 대회 우승자용 씸블콘 티켓만 있어요.
20341	라디오에서 KSCUM 들으면 당첨될 기회가 있어요-부우.
20342	봤어요, 근데 그 후에 무슨 일이 있었는지는 몰라요-부우.
20343	근데 웃긴 일-부우이 있었어요.
20344	계속하세요...
20345	바로 그날, 코가 큰-부우 남자가 체크인했다가 사라졌거든요.
20346	그것 참 신기한 우연이네-요레노.
20347	그 사람이 어느 방에 체크인했어요?
20348	어디 보자-부우.
20349	에밀리오 에스테베즈 씨였어요...
20350	프랭크 자파 씨였어요...
20351	조지 마이클 씨였어요...
20352	로버트 팔머 씨였어요...
20353	{비꼬듯}그럴듯하네.
20354	네...
20355	3층 방-부우에 체크인했어요.
20356	4층 방-부우에 체크인했어요.
20357	5층 방-부우에 체크인했어요.
20358	6층 방-부우에 체크인했어요.
20359	7층 방-부우에 체크인했어요.
20360	8층 방-부우에 체크인했어요.
20361	9층 방-부우에 체크인했어요.
20362	10층 방-부우에 체크인했어요.
20363	11층 방-부우에 체크인했어요.
20364	12층 방-부우에 체크인했어요.
20365	수사를 위해 그 방 열쇠가 필요한데요.
20366	영장-부우 없이 그러면 안 될 것 같은데요.
20367	근데 어차피 거기 볼 것도 없으니, 드려도 될 것 같네요-부우.
20368	고마워요... 드디어.
20369	가끔 그러는데 다들 호텔이 부우-하고 유령 나온다고 걱정해요.
20370	근데 보통 며칠 안에 저절로 고쳐져요-부우.
20371	안녕히 가세요. 좋은 저녁 보내세요-부우.
20372	필요하시면 피전 브라더스가 배관/전기 잘한다고 들었어요.
20373	정말 친절하시네요-부우.
20374	근데 저희는 이미 몇 년째 써온 훌륭한-부우 분들이 있어요.
20375	관리인분들이 오늘 밤 안 되신다는 소문 들었는데요.
20376	피전 브라더스 한번 써보시는 게 어때요?
20377	아니 이럴 수가-부우, 딱 필요했던 거예요!
20378	정말 감사해요-부우.
20379	이 키카드에 대해 뭐 좀 말해주실 수 있어요?
20380	그 손님-부우은 어제 '미스터 슈도님(가명)'이라는 이름으로 체크인했어요.
20381	{비꼬듯}그럴듯하네.
20382	내일-부우 체크아웃 예정이에요.
20383	고마워요.
20384	코스프레 조언이 필요하신가요?
20385	조언이 더 필요하신가요?
20386	저 코스프레하는 거 아니에요.
20387	저는 초자연 현상을 수사하는 FBI 요원 코스프레 중이에요.
20388	그러시든가요. 나중에 뵙죠.
20389	실례합니다, 부인.
20390	{sit_hostile}미안한데 잔돈 같은 거 없어, 아가씨.
20391	{sit_sexy}어머, 어머, 어머! 이게 누구야?
20392	죄송합니다 부인, 저는 애정행각에 돈 안 씁니다.
20393	저는 연방 요원입니다, 예의를 좀 갖추세요 안 그러면 성매매 알선으로 체포할 수도 있어요!
20394	자기야, 나 창녀 아니거든!
20395	{sit_wave}근데 연방 규정 폴리에스터 정장 입은 남자를 보니까 결혼 서약을 잊고 싶어지는 게 있긴 하네...
20396	나는 그 유명한 필로트로닉스 에드먼드 가문의 레노어 에드먼드-멀치야, 지금 버스로 도착할 남편이랑 아들을 기다리고 있는 거라고!
20397	그러니까 나한테 좀 더 예의를 갖추는 게 좋을걸.
20398	강가의 시체에 대해 아는 거 있어요?
20399	누가 이 시체랑 관련 있다고 생각하는지 말해주세요.
20400	빨리 불어, 트러스트 펀드 바비!
20401	부인, 아시는 걸 말씀해주세요.
20402	필로트로닉스에 대해 말해주세요.
20403	척에 대해 더 말해주세요.
20404	필로트로닉스에 대해 더 말해주세요.
20405	삼촌처럼 되고 싶으세요?
20406	필로트로닉스 경비원을 아셨나요?
20407	매춘하는 게 아니라면, 그런 옷차림으로 뭘 하고 계신 거예요?
20408	버스 정류장에서 뭐 하고 계세요?
20409	비디오 게임 개발자가 되는 게 그렇게 나쁜 일인가요?
20410	오늘은 여기까지 하죠.
20411	오, 자기야, 그럼, 그럼, 그럼!
20412	드디어 누가 그걸 없애준다니 정말 다행이야!
20413	그래도 소문은 좀 듣거든, 이 지저분한 일이랑 누가 관련 있는지 짐작 가는 데가 있어.
20414	{sit_shifty_eyes}험담하고 싶진 않지만, 뭐, 마을을 위한 일이니까...
20415	아시는 걸 말씀해주세요.
20416	사실은...
20417	{sit_wave}아니, 이건 못 하겠어!
20418	에드먼드 가문의 명예가 걸린 일이야.
20419	{sit_wave}좋아, 내 동생, 딜로리스였어!
20420	걔는 우리 가족이랑 사업을 버리고 이런 사람이 됐지...
20421	바닥재 검사관이요?
20422	해적이요?
20423	가죽 재킷 판매원이요?
20424	콜센터 상담원이요?
20425	언니처럼 창녀요?
20426	아니, 아니, 아니, 그보다 훨씬 심했어!
20427	걔는...
20428	{sit_eyes_left_right}
20429	...비디오 게임 개발자가 됐어!
20430	딜로리스는 척 삼촌 가슴에 못을 박고 그 살인 시뮬레이터들을 프로그래밍하기 시작했지.
20431	실제 살인이야말로 걔한테 다음 단계일 게 뻔해, 자기야.
20432	걔가 잔머리 굴려서 사랑하는 척 삼촌의 유산을 가로채기 전에 막아야 해.
20433	네, 바로 그 문제 처리하겠습니다.
20434	필로트로닉스는 내 삼촌, 그 위대한 사업가이자 천재 발명가 척 에드먼드의 아이디어였어.
20435	베개 공장을 열었을 때 우리 에드먼드 가문이 이 마을을 위대하게 만들었지.
20436	내 가족은, 심지어 그 멍청한 여동생 딜로리스까지도, 팀블위드 파크에서는 거의 왕족이나 다름없어, 자기야.
20437	척 삼촌은 힘도 있고 부유했고, 늘 아름다운 것들에 둘러싸여 지냈어.
20438	그분이야말로 내가 되고 싶은 모든 거야, 자기야.
20439	그분의 발명품이랑 돈이 없었다면 우린 지금도 양계장이나 하고 있었겠지, 사회 엘리트가 아니라.
20440	그럼, 그럼, 그럼, 내 아들 이름도 그 위대한 삼촌을 따서 척키라고 지었을 정도야, 우리 유대감이 그만큼 깊었거든.
20441	분명 유언장에도 그게 반영돼 있을 거야.
20442	내가 에드먼드 가문 재산을 손에 넣으면 이 동네도 좀 달라질 거야.
20443	화재 때문에 문을 닫았다고 들었는데요?
20444	그래, 그래, 그래, 무능한 경비원 하나가 부주의로 우리 가문의 유산을 망쳐놨어!
20445	근데 좀 더 유쾌한 얘기나 하지!
20446	이 화재에 대해 질문이 참 많네, 자기야.
20447	저-어-
20448	자, 착하게 좀 재밌는 거나 물어봐, 귀요미 요원.
20449	꼭 알아야겠다면, 유언장 낭독하러 가려고 남편이랑 아들 도착하는 걸 기다리는 중이야.
20450	그리고 참고로, 슬프다고 이렇게 후줄근하게 하고 다닐 핑계는 안 돼.
20451	그럼 당신 핑계는 뭔데요?
20452	그냥 남편이랑 아들 도착하는 걸 기다리는 중인데, 좀 걸릴 것 같네.
20453	그동안 나랑 좀 더 친해져 보는 건 어때, 자기야?
20454	죄송하지만, 지금 사건 수사 중이라서요, 부인.
20455	오 그럼요, 그럼요, 그럼요!
20456	결국, 비디오 게임이란 게 사실상 살인 훈련 프로그램이고 폭력이랑 타락을 조장한다는 건 다 아는 사실이잖아!
20457	게임 개발에 뛰어들고 싶어 하는 건 무슨 반사회적이고, 도덕적으로 문제 있고, 정신 나간 괴짜여야만 가능한 일이라고!
20458	곧 또 보러 와요, 자기야.
20459	고양이들 밥 줘야 할 거 아니야, 자기야.
20460	차오!
20461	{stand_nametag}안녕하세요, 저는 퀴키팔의 레너드예요.
20462	뭘 도와드릴까요?
20463	특수요원 레이다.
20464	주니어 특수요원 레예스예요.
20465	저 그거 안 갖고 있어요, 그렇게 생각하시는 거면요.
20466	강가의 시체에 대해 아는 거 있어요?
20467	마을에서 수상하게 행동하는 사람 본 적 있어요?
20468	윌리가 왜 수상해 보였던 거예요?
20469	그 지갑이 윌리 거였을 가능성은요?
20470	레너드 씨, 본인에 대해 좀 얘기해주세요.
20471	그래서 레너드, 사연이 뭔데?
20472	여기 퀴키팔에서 일하는 거 마음에 들어요?
20473	생각할 시간이 많다고 했죠.
20474	척에 대해 말해주세요.
20475	척을 진짜 존경하는 것 같네요.
20476	카운티 지도 있어요?
20477	이 깜빡이는 조명 때문에 미치겠네요.
20478	이 마을 상태에 대해 어떻게 생각해요?
20479	그 보안 테이프 좀 볼 수 있을까요?
20480	보안 테이프를 넘겨주셔야겠어요.
20481	왜 베타맥스 플레이어를 갖고 계세요?
20482	가게 좀 둘러볼게요.
20483	아뇨, 근데 보안관이 그거 보고 거의 토할 뻔했다는 얘기는 들었어요.
20484	제가 요즘 본 몸뚱이라곤 잡지 진열대 맨 위 칸에 있는 늘씬한 언니들뿐인데요!
20485	네가 벗은 여자를 보는 데가 잡지밖에 없다는 게 놀랍지도 않다.
20486	그건 그냥 넘어가죠.
20487	사실, 그러고 보니까, 며칠 전 밤에 좀 수상한 걸 보긴 봤어요.
20488	야간 근무 중에 문 닫고 피자나 좀 먹으려던 참이었는데 마을 부랑자 윌리가 들어오더라고요.
20489	생각해보니까 진짜 이상했어요.
20490	보통은 그 사람 쫓아내야 돼요, 냄새도 지독하고 돈도 절대 없거든요.
20491	근데 태어나서 처음으로, 그 형이 지갑을 꺼내더니 돈뭉치를 두둑하게 보여주더라고요.
20492	술장 전체를 사가는 거 보고 좀 쩐다고 생각했어요.
20493	그 지갑은 절대 그 사람 거일 리가 없어요. 그냥 운 좋게 주웠나 보다 했죠.
20494	근데 생각해보니까, 그 지갑에 이상한 빨간 얼룩이 좀 있었던 것 같아요.
20495	그땐 그 사람이 마시는 체리맛 구강청결제인 줄 알았는데, 피였을 수도 있겠네요.
20496	우와아, 제 이름 어떻게 아셨어요?
20497	텔레파시 뭐 그런 거 쓰세요?
20498	아뇨, 방금 본인이 이름 말했잖아요, 명찰에도 적혀 있고요.
20499	완전 좋죠, 여기서 커피 공짜에 최저시급까지, 개꿀이에요!
20500	게다가 야간 근무엔 손님도 별로 없어서 생각할 시간이 많아요.
20501	저는 좀 추상적으로 사고하는 편이에요, 시대를 완전 앞서가죠.
20502	엄마는 저더러 MIT 장학금 받은 사촌 버나드처럼 좀 되라고 하시는데.
20503	근데 그런 찌질이처럼 될 바에야 척 에드먼드처럼 되는 게 낫죠.
